                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.55239,                0.45645,                0.84896,                0.75574,                0.62618,                0.66421,                0.54428,                0.82418,                 1.2813,                0.91373,             0.00053553,             0.00053553,             0.00053553
                     49,                 0.5882,                0.54063,                0.84738,                0.83042,                0.59512,                 0.6759,                0.54455,                0.83143,                 1.2404,                0.90977,             0.00053046,             0.00053046,             0.00053046
                     50,                0.55016,                0.46409,                0.83852,                 0.7935,                0.63499,                0.69771,                0.57258,                 0.8005,                 1.2024,                0.90624,             0.00052538,             0.00052538,             0.00052538
                     51,                 0.5643,                 0.4954,                 0.8399,                 0.8026,                0.62588,                 0.6906,                0.56622,                 0.7977,                 1.2343,                0.90289,             0.00052031,             0.00052031,             0.00052031
                     52,                0.58821,                0.48426,                 0.8437,                 0.8574,                0.58501,                0.68422,                0.54544,                0.84766,                 1.2989,                0.91136,             0.00051523,             0.00051523,             0.00051523
                     53,                0.56812,                0.48472,                0.84902,                0.80707,                0.63689,                0.68444,                0.55903,                0.80713,                 1.2433,                0.90765,             0.00051015,             0.00051015,             0.00051015
                     54,                 0.5828,                0.46092,                0.84531,                0.80127,                0.64165,                0.67384,                0.55414,                0.80566,                 1.2551,                0.90784,             0.00050508,             0.00050508,             0.00050508
                     55,                0.56746,                0.50751,                0.84136,                0.77429,                0.64595,                0.67023,                0.54823,                0.80995,                 1.2553,                0.91059,                 0.0005,                 0.0005,                 0.0005
                     56,                0.54439,                0.43051,                0.84542,                0.76946,                 0.6295,                 0.6624,                0.55337,                 0.8048,                 1.2771,                0.90045,             0.00049493,             0.00049493,             0.00049493
                     57,                0.53185,                 0.4366,                 0.8323,                0.78176,                0.59964,                0.65826,                0.55456,                0.80393,                 1.3283,                0.89603,             0.00048985,             0.00048985,             0.00048985
                     58,                0.54758,                0.44526,                0.84168,                0.81838,                0.56949,                0.66901,                0.55483,                0.82346,                 1.2993,                0.89283,             0.00048478,             0.00048478,             0.00048478
                     59,                0.52099,                0.41819,                 0.8377,                0.81512,                0.58963,                0.67851,                0.56292,                0.81403,                 1.2494,                0.88688,              0.0004797,              0.0004797,              0.0004797
                     60,                0.56391,                0.43246,                0.83736,                0.77157,                0.62447,                0.68721,                 0.5624,                0.82415,                  1.253,                0.89784,             0.00047463,             0.00047463,             0.00047463
                     61,                0.58402,                0.47122,                0.83214,                0.77424,                0.61337,                0.68168,                0.54895,                0.83912,                 1.2172,                0.90425,             0.00046955,             0.00046955,             0.00046955
                     62,                0.57046,                0.46604,                 0.8335,                0.83283,                0.62325,                0.68944,                0.56885,                0.77975,                 1.1489,                0.89377,             0.00046448,             0.00046448,             0.00046448
                     63,                0.56055,                0.42533,                0.83496,                0.87724,                0.60443,                0.69748,                0.58179,                0.78803,                 1.1392,                 0.8912,              0.0004594,              0.0004594,              0.0004594
                     64,                0.53556,                0.44608,                0.84062,                0.80409,                 0.6358,                0.71046,                 0.5865,                0.78762,                 1.1271,                0.89304,             0.00045433,             0.00045433,             0.00045433
                     65,                0.53032,                0.42598,                0.84131,                0.82568,                0.62385,                0.71116,                0.59262,                0.78854,                 1.1398,                0.89223,             0.00044925,             0.00044925,             0.00044925
                     66,                0.51959,                0.41277,                0.83479,                0.77634,                0.67082,                0.71518,                 0.6026,                0.77451,                 1.0987,                0.88922,             0.00044417,             0.00044417,             0.00044417
                     67,                  0.506,                0.39306,                0.82125,                0.87231,                0.64491,                0.71706,                0.60499,                0.76733,                 1.0943,                0.89042,              0.0004391,              0.0004391,              0.0004391
                     68,                0.51726,                 0.4092,                0.82938,                  0.853,                0.64695,                0.70262,                0.59158,                0.80969,                  1.142,                0.90192,             0.00043402,             0.00043402,             0.00043402
                     69,                0.53017,                0.40699,                0.82603,                0.84578,                0.63466,                 0.6984,                0.58152,                0.81232,                 1.1509,                0.90695,             0.00042895,             0.00042895,             0.00042895
                     70,                0.52603,                0.40867,                0.83382,                0.78854,                0.63956,                0.68831,                0.58235,                0.80034,                 1.2054,                0.90812,             0.00042387,             0.00042387,             0.00042387
                     71,                0.51956,                0.40609,                0.82337,                0.80915,                0.61819,                0.68244,                0.58208,                0.78857,                 1.2123,                0.90498,              0.0004188,              0.0004188,              0.0004188
                     72,                0.53003,                 0.4037,                0.84349,                0.83125,                0.59083,                0.68003,                0.58175,                0.78975,                 1.2527,                0.90645,             0.00041372,             0.00041372,             0.00041372
