                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.69913,                0.31299,                 0.9224,                0.95746,                 0.9467,                0.98198,                0.67755,                 1.0982,                0.41713,                 1.2225,             0.00053172,             0.00053172,             0.00053172
                     82,                 0.6868,                0.31012,                0.91985,                0.96233,                0.94045,                0.98145,                0.67906,                 1.0904,                0.42061,                 1.2173,             0.00052439,             0.00052439,             0.00052439
                     83,                0.68025,                0.30633,                0.91302,                0.95749,                0.94384,                0.98158,                0.67295,                   1.09,                0.41837,                  1.212,             0.00051706,             0.00051706,             0.00051706
                     84,                0.67516,                0.30776,                0.91446,                0.95314,                0.95311,                 0.9814,                0.68215,                 1.0938,                  0.415,                 1.2189,             0.00050973,             0.00050973,             0.00050973
                     85,                0.67275,                0.30517,                0.91354,                0.95357,                0.95207,                0.98089,                0.68416,                 1.0907,                0.41499,                 1.2239,             0.00050239,             0.00050239,             0.00050239
                     86,                0.66976,                0.30609,                0.91326,                0.95153,                0.94802,                 0.9809,                0.68075,                 1.0942,                0.42368,                 1.2282,             0.00049506,             0.00049506,             0.00049506
                     87,                0.67559,                0.30512,                0.91425,                0.96038,                0.93974,                0.97963,                0.68249,                  1.095,                 0.4298,                 1.2242,             0.00048773,             0.00048773,             0.00048773
                     88,                 0.6556,                0.29847,                0.90398,                0.95209,                0.95269,                0.98139,                0.67717,                 1.0951,                0.41606,                 1.2338,              0.0004804,              0.0004804,              0.0004804
                     89,                0.65287,                0.29793,                 0.9019,                0.95399,                0.95293,                0.98156,                0.67791,                  1.097,                0.41767,                 1.2285,             0.00047306,             0.00047306,             0.00047306
                     90,                0.64502,                0.29502,                0.89687,                 0.9531,                0.95251,                0.98055,                0.67814,                 1.0999,                0.41213,                  1.232,             0.00046573,             0.00046573,             0.00046573
                     91,                0.63664,                0.29451,                0.90097,                0.95735,                0.94563,                0.98008,                0.67943,                 1.0983,                0.41978,                  1.234,              0.0004584,              0.0004584,              0.0004584
                     92,                0.64363,                0.29513,                0.89704,                0.95601,                0.94678,                0.98205,                0.67715,                 1.1005,                0.42275,                 1.2306,             0.00045107,             0.00045107,             0.00045107
                     93,                0.64014,                0.29352,                0.89225,                0.95574,                0.94961,                0.98055,                0.67996,                 1.1026,                0.42578,                  1.228,             0.00044373,             0.00044373,             0.00044373
                     94,                0.64712,                0.29537,                0.89625,                0.94548,                0.95671,                0.97984,                0.68314,                  1.091,                0.42548,                 1.2158,              0.0004364,              0.0004364,              0.0004364
                     95,                0.63181,                0.28967,                0.89058,                0.96058,                0.94383,                0.98156,                0.68166,                 1.0934,                0.41772,                 1.2165,             0.00042907,             0.00042907,             0.00042907
                     96,                0.62789,                0.28986,                0.89077,                0.96697,                0.93738,                0.97944,                0.68215,                 1.0949,                0.41666,                 1.2426,             0.00042174,             0.00042174,             0.00042174
                     97,                0.63231,                0.28998,                0.89182,                0.96675,                0.94116,                0.98048,                0.68159,                 1.0916,                0.41483,                 1.2288,              0.0004144,              0.0004144,              0.0004144
                     98,                0.61709,                0.28329,                0.88397,                0.96275,                0.94495,                0.97891,                0.67721,                 1.0916,                0.41799,                 1.2301,             0.00040707,             0.00040707,             0.00040707
                     99,                0.60834,                0.28089,                0.88738,                0.95604,                0.94931,                0.97812,                0.68046,                 1.0924,                0.41374,                 1.2405,             0.00039974,             0.00039974,             0.00039974
                    100,                0.60894,                 0.2825,                 0.8859,                0.95934,                0.94176,                0.97737,                0.67694,                 1.0915,                0.42249,                 1.2351,             0.00039241,             0.00039241,             0.00039241
