                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     97,                0.50306,                0.36512,                0.81695,                 0.9603,                0.68728,                0.78457,                0.67816,                0.76415,                0.93162,                0.88424,              0.0004144,              0.0004144,              0.0004144
                     98,                0.48585,                0.35407,                0.81656,                 0.9612,                0.68564,                0.78616,                0.67364,                0.75365,                0.96492,                0.88338,             0.00040707,             0.00040707,             0.00040707
                     99,                0.48916,                0.35288,                0.81702,                0.94747,                0.70862,                0.78483,                0.67033,                0.75487,                0.96239,                0.88112,             0.00039974,             0.00039974,             0.00039974
                    100,                0.47169,                 0.3416,                0.80993,                0.96009,                0.71138,                0.78629,                0.66985,                0.74662,                0.93355,                0.88328,             0.00039241,             0.00039241,             0.00039241
                    101,                0.47781,                 0.3365,                0.81718,                 0.9436,                0.71663,                 0.7893,                0.67046,                0.74848,                0.93376,                0.88543,             0.00038507,             0.00038507,             0.00038507
                    102,                0.48491,                0.33085,                0.82117,                0.94035,                 0.7234,                0.79289,                0.67332,                0.72961,                0.90684,                0.87383,             0.00037774,             0.00037774,             0.00037774
                    103,                 0.4882,                0.35942,                 0.8056,                0.93495,                0.72702,                0.79269,                 0.6769,                0.73181,                0.90098,                0.87218,             0.00037041,             0.00037041,             0.00037041
                    104,                0.46313,                0.33518,                0.81182,                0.96559,                0.71895,                0.79341,                0.67511,                0.75107,                0.89475,                0.88288,             0.00036307,             0.00036307,             0.00036307
                    105,                0.47356,                0.34614,                0.81477,                0.95884,                 0.7211,                0.79256,                0.67116,                0.76535,                0.88357,                0.88273,             0.00035574,             0.00035574,             0.00035574
                    106,                 0.4572,                0.32435,                0.81812,                 0.9556,                0.72581,                0.79423,                0.68078,                0.74968,                0.87351,                0.87583,             0.00034841,             0.00034841,             0.00034841
                    107,                0.44789,                0.31801,                0.81025,                 0.9328,                0.73681,                0.79021,                0.67566,                 0.7583,                0.85852,                 0.8758,             0.00034108,             0.00034108,             0.00034108
                    108,                0.44944,                0.31226,                0.80235,                0.95659,                0.70657,                0.78794,                0.66698,                0.75939,                0.86556,                0.88321,             0.00033374,             0.00033374,             0.00033374
                    109,                0.45541,                0.32206,                0.81617,                0.95316,                0.70491,                0.78714,                0.66934,                0.75257,                0.86449,                0.87854,             0.00032641,             0.00032641,             0.00032641
                    110,                0.45094,                0.32767,                0.80742,                0.96284,                0.70283,                0.78345,                0.66403,                0.75695,                0.86765,                 0.8752,             0.00031908,             0.00031908,             0.00031908
                    111,                0.47344,                0.33424,                0.81079,                0.96056,                0.70566,                0.78309,                0.65766,                0.76616,                0.86733,                0.87918,             0.00031175,             0.00031175,             0.00031175
                    112,                0.44207,                0.33444,                0.80755,                0.92655,                0.71841,                0.77757,                0.66262,                0.74761,                0.84677,                0.87781,             0.00030441,             0.00030441,             0.00030441
                    113,                0.42231,                0.30359,                0.81097,                0.92969,                0.71328,                0.77827,                0.66231,                0.74822,                0.84317,                0.87712,             0.00029708,             0.00029708,             0.00029708
                    114,                0.42511,                0.30079,                0.79871,                0.92123,                  0.706,                0.77873,                0.65455,                0.75782,                0.85515,                0.87605,             0.00028975,             0.00028975,             0.00028975
                    115,                0.41787,                0.30203,                 0.8048,                0.92262,                0.70199,                0.77862,                0.66166,                0.75498,                0.85678,                0.87558,             0.00028242,             0.00028242,             0.00028242
                    116,                0.44077,                0.30554,                 0.8045,                0.94589,                0.68893,                 0.7858,                0.67217,                0.74558,                0.86923,                0.87461,             0.00027508,             0.00027508,             0.00027508
                    117,                0.43673,                0.30386,                0.80662,                0.90713,                0.71255,                0.78603,                0.67282,                0.74884,                0.86723,                0.87832,             0.00026775,             0.00026775,             0.00026775
                    118,                0.42507,                0.30647,                0.80345,                0.90501,                0.71638,                0.78881,                0.67129,                0.76031,                0.86429,                0.87728,             0.00026042,             0.00026042,             0.00026042
                    119,                 0.4414,                 0.3116,                0.80574,                0.95309,                0.68585,                0.79219,                0.67771,                0.74119,                 0.8538,                0.87402,             0.00025309,             0.00025309,             0.00025309
                    120,                0.42482,                0.31817,                 0.8073,                0.90924,                0.72096,                0.79855,                0.69101,                0.73599,                0.82902,                0.87426,             0.00024575,             0.00024575,             0.00024575
                    121,                 0.4121,                0.29011,                0.80948,                 0.9263,                0.71162,                0.79965,                0.68952,                0.74684,                0.81792,                0.87733,             0.00023842,             0.00023842,             0.00023842
