                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.89875,                0.36851,                 1.0115,                0.94651,                0.96566,                 0.9829,                0.66717,                 1.0995,                0.38768,                  1.199,              0.0011389,              0.0011389,              0.0011389
                     51,                 0.9092,                0.37353,                 1.0056,                0.96194,                0.95068,                0.98395,                0.67205,                 1.1159,                 0.3899,                 1.1936,              0.0011279,              0.0011279,              0.0011279
                     52,                0.89741,                0.36875,                 1.0003,                0.95401,                0.95496,                0.98213,                0.67548,                  1.086,                0.37817,                 1.1805,              0.0011169,              0.0011169,              0.0011169
                     53,                0.88804,                0.36423,                0.99451,                0.94549,                0.95005,                0.98213,                0.66916,                  1.108,                0.39161,                 1.1971,              0.0011059,              0.0011059,              0.0011059
                     54,                0.87805,                0.36129,                0.99271,                0.95616,                0.95681,                0.98399,                 0.6739,                 1.0975,                0.38333,                 1.1903,              0.0010949,              0.0010949,              0.0010949
                     55,                0.89225,                0.36618,                 1.0057,                0.95016,                0.95661,                0.98179,                0.66619,                 1.0964,                0.38777,                 1.1845,              0.0010839,              0.0010839,              0.0010839
                     56,                0.89281,                 0.3651,                 1.0008,                0.95814,                0.95625,                0.98366,                0.67274,                 1.0931,                 0.3832,                 1.1946,              0.0010729,              0.0010729,              0.0010729
                     57,                0.86652,                0.35589,                0.98734,                0.96654,                0.94792,                0.98292,                0.67168,                 1.0935,                0.38764,                 1.1808,              0.0010619,              0.0010619,              0.0010619
                     58,                0.86132,                0.35496,                 0.9856,                0.96371,                0.94859,                0.97949,                0.67064,                 1.0866,                0.38828,                  1.186,              0.0010509,              0.0010509,              0.0010509
                     59,                0.85926,                0.35357,                0.98659,                 0.9527,                0.96216,                0.98407,                0.67333,                 1.0887,                 0.3802,                 1.1934,              0.0010399,              0.0010399,              0.0010399
                     60,                0.86579,                0.35432,                0.98876,                0.96085,                0.95908,                0.98454,                0.67072,                 1.1011,                0.37937,                  1.195,              0.0010289,              0.0010289,              0.0010289
                     61,                0.84666,                0.34694,                0.98339,                0.96453,                0.94702,                0.98404,                0.67705,                 1.0958,                0.38363,                 1.2072,              0.0010179,              0.0010179,              0.0010179
                     62,                 0.8411,                0.34549,                0.98063,                 0.9598,                0.94152,                0.98366,                0.68181,                 1.0846,                 0.3823,                 1.1829,              0.0010069,              0.0010069,              0.0010069
                     63,                0.84003,                 0.3439,                0.97525,                0.96129,                0.95573,                0.98461,                0.67938,                 1.0838,                0.37521,                 1.1801,             0.00099587,             0.00099587,             0.00099587
                     64,                0.82859,                0.34168,                0.96713,                0.96183,                0.95423,                0.98478,                0.66835,                 1.0899,                0.37824,                 1.1893,             0.00098486,             0.00098486,             0.00098486
                     65,                0.82268,                0.34108,                 0.9719,                0.95442,                0.95086,                0.98526,                0.67117,                 1.0935,                0.37846,                 1.2012,             0.00097386,             0.00097386,             0.00097386
                     66,                 0.8236,                0.34413,                 0.9705,                0.96116,                0.95274,                0.98352,                0.67547,                 1.0975,                0.38206,                 1.1975,             0.00096286,             0.00096286,             0.00096286
                     67,                0.82022,                  0.341,                0.96885,                0.95838,                0.95599,                0.98401,                0.67269,                 1.0895,                0.38063,                 1.2031,             0.00095186,             0.00095186,             0.00095186
                     68,                0.81846,                0.34197,                0.96797,                0.95751,                0.95784,                0.98444,                0.67367,                 1.0909,                0.37547,                 1.1964,             0.00094085,             0.00094085,             0.00094085
                     69,                0.81017,                0.33603,                0.95622,                 0.9595,                0.95808,                0.98408,                0.67312,                 1.0846,                0.37453,                 1.1884,             0.00092985,             0.00092985,             0.00092985
                     70,                0.79038,                0.32954,                 0.9579,                0.95894,                0.95862,                0.98177,                0.68033,                  1.082,                  0.376,                 1.1889,             0.00091885,             0.00091885,             0.00091885
                     71,                0.79665,                0.33507,                0.95833,                0.96794,                 0.9468,                0.98375,                0.67606,                 1.0927,                0.37743,                  1.204,             0.00090785,             0.00090785,             0.00090785
                     72,                0.79774,                0.33394,                0.95995,                 0.9532,                0.95729,                0.98291,                0.66957,                 1.0949,                0.37822,                 1.2016,             0.00089685,             0.00089685,             0.00089685
                     73,                0.80385,                0.33455,                0.97295,                0.96004,                 0.9549,                0.98252,                0.67455,                 1.1001,                0.37515,                  1.206,             0.00088584,             0.00088584,             0.00088584
                     74,                0.78943,                0.32968,                0.96181,                0.95848,                0.95712,                0.98386,                0.67862,                  1.094,                0.37509,                 1.2057,             0.00087484,             0.00087484,             0.00087484
                     75,                0.77764,                 0.3258,                0.94961,                0.94445,                0.96849,                0.98443,                0.67553,                 1.0862,                0.37452,                 1.2127,             0.00086384,             0.00086384,             0.00086384
                     76,                0.77543,                0.32472,                0.95846,                0.95984,                0.95052,                0.98443,                0.68252,                 1.0868,                0.36887,                 1.2078,             0.00085284,             0.00085284,             0.00085284
